"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Viñegra De Moraña","Ávila","AECL-002","Navatour, S.L.","Regular",NA
"Navalguijo","El Barco De Ávila","AECL-004","Pedro Pedro Autocares, S.L.","Regular",NA
"Neila De San Miguel","El Barco De Ávila","AECL-005","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"El Barquillo","El Barco De Ávila","AECL-005","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Neila De San Miguel","El Barco De Ávila","AECL-005","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Junciana"
"Cisla","Pascualgrande","AECL-008","Navatour, S.L.","Regular",NA
"Villalaco","Astudillo","AECL-049","Linecar, S.A.","Regular",NA
"Retortillo","El Burgo De Osma","AECL-081","Moreno Sanz 2009, S.L.","Regular","por la Rasa"
"Retortillo","El Burgo De Osma","AECL-081","Moreno Sanz 2009, S.L.","Regular","por Valdenebro"
"Alcoba De La Torre","Langa De Duero","AECL-082","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Alcubilla De Avellaneda","San Esteban De Gormaz","AECL-082","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Tapioles","Villalpando","AECL-102","Herederos de A. Tamame, S.A.","Regular",NA
"Moraleja De Sayago","Zamora","AECL-103","Viamar Autocares, S.L.U.","Regular",NA
"Venialbo","Toro","AECL-104","Herederos de A. Tamame, S.A.","Regular",NA
"Becerril Del Carpio","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Santervás De La Vega","Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular","por Población y Lagartos"
"Santervás De La Vega","Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular","por Calzadilla"
"Santervás De La Vega","Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular","por San Martín del Valle"
"Santervás De La Vega","Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular","por Quintanadiez de la Vega"
"Monzón De Campos","Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Sotillo Del Rincón","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Ciria","Soria","VACL-006","Sanz Tierno Autocares, S.L.","Regular",NA
"Palencia","Villaverde De La Peña","VACL-009","Abagón, S.L.","Regular",NA
"Arcos De Jalón","Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Soria","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Ávila","Riofrío","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ávila","Aldea Del Rey Niño","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ávila","Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Aldea Del Rey Niño","Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Aguilar De Campoo","Barruelo De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Fuentesaúco","Toro","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Madrigal De Las Altas Torres","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Sanchidrián"
"Madrigal De Las Altas Torres","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Tiñosillos"
"Arévalo","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Pajares de Adaja"
"Ávila","Magazos","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Arévalo","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular","por Tiñosillos"
"Magazos","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"San Esteban De Zapardiel","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela","Hernansancho","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Hernansancho","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Langa De Duero","Soria","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Berlanga De Duero","Soria","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular","por Rioseco y Torreandaluz"
"Berlanga De Duero","Soria","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular","por Osona"
"Soria","Golmayo","VACL-031","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Mirueña De Los Infanzones","San Pedro Del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Mamblas","Chaherrero","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ávila","Horcajo De Las Torres","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Navalperal De Pinares","El Tiemblo","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Segovia","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Segovia","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular","por Navas de San Antonio"
"Segovia","Vegas De Matute","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Segovia","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Vegas De Matute","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Casarejos","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Soria","Duruelo De La Sierra","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Covaleda","Duruelo De La Sierra","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Fuentesaúco","Zamora","VACL-065","Autocares Siga Hermanos, S.L.","Regular","con salida en Villaescusa"
"Cuelgamures","El Piñero","VACL-065","Autocares Siga Hermanos, S.L.","Regular",NA
"Fermoselle","Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular","por Fadón"
"Fermoselle","Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular","por Piñuel"
"Salce","Almeida","VACL-090","Herederos de A. Tamame, S.A.","Regular","ZA; por Fresno"
"Salce","Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular","ZA; por Fresno"
"Almeida","Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular","ZA; por Fresno"
"Almeida","Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Villadepera","Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Villardiegua De La Ribera","Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Muga De Sayago","Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Muga De Sayago","Pino Del Oro","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Muga De Sayago","Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Pino Del Oro","Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Losacio","El Puente De La Estrella","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Bercianos De Aliste","Alcañices","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Ribadelago","Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"San Martín Del Pedroso","Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Villardeciervos","Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular","por Villarino del Cebal"
"Uña De Quintana","Venta De Villanueva","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Ayoo De Vidriales","Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular","por Rosinos Bercianos Tardemezar"
"Vezdemarbán","Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Fresno","Saldaña","VACL-009","Abagón, S.L.","Regular",NA
"Villarmienzo","Palencia","VACL-009","Abagón, S.L.","Regular",NA
"Maello","Velayos","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Maello","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Velayos","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Zamora","Puebla De Sanabria","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Báscones De Ebro","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Gama","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Matabuena","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Menaza","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Nava De Santullán","Barruelo De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Pozancos","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Salcedillo","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Salcedillo","Barruelo De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Valberzoso","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Valberzoso","Barruelo De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Valdegama","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Vallespinoso","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Villabellaco","Barruelo De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Villaescusa De Las Torres","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Villanueva De Henares","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular",NA
"Moveros","Alcañices","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Alpanseque","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Borchicayada","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Centenera","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Momblona","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Romanillos","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Valdespina","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Arbujuelo","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Benamira","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Iruecha","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Mezquetillas","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Puebla De Eca","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Valtueña","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"La Estación","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"San Vicente De Arévalo","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Villanueva De Gómez","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Aldeavieja","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Cabañas","Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Gallegos De San Vicente","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Narrillos De San Leonardo","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Pajares De Adaja","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"San Pascual","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Urraca","Miguel","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Urraca","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Miguel","Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"San Bartolomé De Béjar","Barco De Ávila","VACL-044","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cañicera","Berlanga De Duero","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Manzanares","Berlanga De Duero","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Morales","Berlanga De Duero","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Valverde De Los Ajos","Berlanga De Duero","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Ventosa De Fuentepinilla","Berlanga De Duero","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Navianos","Carbajales","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Bustillo Del Páramo De Carrión","Carrión De Los Condes","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Calzadilla De La Cueza","Carrión De Los Condes","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Carrión De Los Condes","La Serna","VACL-009","Abagón, S.L.","Regular",NA
"Lomas","Carrión De Los Condes","VACL-009","Abagón, S.L.","Regular",NA
"Villafruela","Carrión De Los Condes","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Cebreros","Navaluenga","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"El Hoyo De Pinares","Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"La Atalaya","Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Poblado De Burguillo","Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"El Piñero","Corrales Del Vino","VACL-065","Autocares Siga Hermanos, S.L.","Regular",NA
"Vinuesa","Covaleda","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
