"RUTA","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Benamariel - Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Demanda",NA
"Cabañas - Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Demanda",NA
"Fontanil - Valencia De Don Juan","VACL-038","Linecar, S.A.","Demanda",NA
"Fuentes - Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Demanda",NA
"Jabares - Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Demanda",NA
"Mayorga - Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Demanda",NA
"Mayorga - Valencia De Don Juan Jueves","VACL-118","Julián Javier Larrauri González","Demanda",NA
"Velilla - Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Demanda",NA
"Villaornate - Valencia De Don Juan","VACL-038","Linecar, S.A.","Demanda",NA
"Cubilla - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Cubilla - Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Cubilla - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Hedeso - Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Hedeso - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Miranda De Ebro - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Pajares - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"San Martín De Don - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"San Martín De Don - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Tobalinilla - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Tobalinilla - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Valderrama - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Valujera - Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Valujera - Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Villarcayo - Miranda De Ebro Miércoles","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Villarcayo - Nofuentes","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Nofuentes - Miranda De Ebro Miércoles","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Villarcayo - Miranda De Ebro Lunes","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Nofuentes - Miranda De Ebro Lunes","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Ameyugo - Miranda De Ebro","AECL-011","Autobuses Barredo, S.L.","Demanda",NA
"Barruelo - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Bedón - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Escaño - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Panizares - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Salazar - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Villanueva La Lastra - Villarcayo","VACL-129","Autobuses Barredo, S.L.","Demanda",NA
"Cabeza Del Caballo - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"Fonfría - Vitigudino","VACL-090","Herederos de A. Tamame, S.A.","Demanda",NA
"Gansinos - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"Peñalvo - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"Picones - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"San Cristóbal - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"Trabanca - Vitigudino","VACL-090","Herederos de A. Tamame, S.A.","Demanda",NA
"Villavieja - Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Demanda",NA
"El Arenal - Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Demanda",NA
"San Martín De La Vega Del Alberche - Fonda De Santa Teresa","VACL-149","Muñoz Travel, S.L.","Demanda",NA
"Santa Cruz Del Valle - Cuevas Del Valle","VACL-149","Muñoz Travel, S.L.","Demanda",NA
"Congosto - Villadiego","AECL-012","Negrete Bus, S.L.","Demanda",NA
"Congosto - Sandoval De La Reina","AECL-012","Negrete Bus, S.L.","Demanda",NA
"Guadilla De Villamar - Sotresgudo","AECL-015","Negrete Bus, S.L.","Demanda",NA
"Guadilla De Villamar - Villadiego","AECL-015","Negrete Bus, S.L.","Demanda",NA
"Peones - Sotresgudo","AECL-015","Negrete Bus, S.L.","Demanda",NA
"Argenteiro - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Burbia - Vega De Espinareda","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Campañana - Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Castañeiras - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Castañoso - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Cela - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Chandevillar - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Corrales Del Vino - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Dragonte - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"El Portelo - Ambasmestas","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Güimil - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"La Braña - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"La Laguna - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Laballós - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Lago De Carucedo - Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Melezna - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Moral De Valcarce - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Orellán - Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"San Pedro De Trones - Puente De Domingo Flórez","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Sotillo De Cabrera - Puente De Domingo Flórez","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Tombrio De Abajo - Fabero","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Villar De Corrales - Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Villariños - Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Voces - Las Ventas De Borrenes","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Belmonte De Campos - Villarramiel","VACL-038","Linecar, S.A.","Demanda",NA
"Boadilla De Rioseco - Villada","VACL-038","Linecar, S.A.","Demanda",NA
"Cardeñosa De Volpejera - Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Demanda",NA
"Cisneros - Villada","VACL-117","Moreno Vicente y Cía, S.L.","Demanda",NA
"Fuentes De Nava - Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Demanda",NA
"Población De Cerrato - Palencia","VACL-102","Autocares Tejedor H., S.L.","Demanda",NA
"Pozo De Urama - Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Demanda",NA
"Terradillos De Los Templarios - Villada","VACL-038","Linecar, S.A.","Demanda",NA
"Valdecañas De Cerrato - Baltanás","AECL-051","Autocares Antolín, S.L.","Demanda",NA
"Vallejera - Villodrigo","VACL-116","Moreno Vicente y Cía, S.L.","Demanda",NA
"Villamartín De Campos - Villarramiel","VACL-038","Linecar, S.A.","Demanda",NA
"Villanueva Del Rebollar - Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Demanda",NA
"Alaraz - Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Amatos De Alba - Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Bocacara - Tamames","VACL-072","Viagón Autocares, S.L.","Demanda",NA
"Cruce Cuatro Calzadas - Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Malpartida - Macotera","VACL-068","Autocares Galán Gómez, S.L.","Demanda",NA
"Malpartida - Peñaranda De Bracamonte","VACL-068","Autocares Galán Gómez, S.L.","Demanda",NA
"Palomares De Alba - Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Segoyuela - Tamames","VACL-076","Adojaju, S.L.","Demanda",NA
"Tamames - Linares De Riofrío","VACL-076","Adojaju, S.L.","Demanda",NA
"Valdecarros - Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"Valverde De Valdelacasa - Ledrada","VACL-073","Viamar Autocares, S.L.U.","Demanda",NA
"Campillo De Aranda - Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Demanda",NA
"Cilleruelo De San Mamés - Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Demanda",NA
"Bretó - Granja De Moreruela","VACL-131","Santiago Castaño Fernández","Demanda",NA
"Villalpando - Villanueva Del Campo","VACL-038","Linecar, S.A.","Demanda",NA
"El Bohodón - Árevalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Gutierremuñoz - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Montuenga - Arévalo I","VACL-123","Linecar, S.A.","Prestación Conjunta",NA
"Coto De Puente Viejo - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Adanero - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Madrigal De Las Altas Torres - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Horcajo De Las Torres - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Cabizuela - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Montuenga - Arévalo Ii","VACL-123","Linecar, S.A.","Prestación Conjunta",NA
"San Estéban Del Valle - Arenas De San Pedro","VAC-224","La Veloz, S.A.","Prestación Conjunta",NA
"Villarejo Del Valle - Arenas De San Pedro","VAC-224","La Veloz, S.A.","Prestación Conjunta",NA
"Santa Cruz Del Valle - Arenas De San Pedro","VAC-224","La Veloz, S.A.","Prestación Conjunta",NA
"Mombeltrán - Arenas De San Pedro","VAC-224","La Veloz, S.A.","Prestación Conjunta",NA
"Cuevas Del Valle - Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Guisando - Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"San Martín De La Vega - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Navacepeda De Tormes - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"San Miguel De Serrezuela - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Gamonal De La Sierra - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Pradosegar - Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Villatoro - Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Salobralejo - Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Blacha - Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Mengamuñoz - IES Alonso Madrigal","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Mengamuñoz - Ávila IES Jorge Santayana E","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Ávila IES Jorge Santayana E - IES Alonso Madrigal","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Santa Cruz De Pinares - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"San Estebán De Los Patos - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Riocabado - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Maello - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Sigeres - Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"Martiherrero - Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Riofrio - Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"Aldea Del Rey Niño - Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"Navarredonda De Gredos - El Barco De Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Navacepeda De Tormes - El Barco De Ávila","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"La Horcajada - Barco De Ávila","VACL-073","Viamar Autocares, S.L.U.","Prestación Conjunta",NA
"Medinilla - El Barco De Ávila","VACL-044","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Navalguijo - Barco De Ávila","AECL-004","Pedro Pedro Autocares, S.L.","Prestación Conjunta",NA
"Santiago De Aravalle - Barco De Ávila","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"La Aldehuela - Barco De Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Puerto Castilla - Barco De Ávila","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Cabizuela - Fontiveros","VACL-066","Navatour, S.L.","Prestación Conjunta",NA
"Serranillos - Navaluenga","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Navalosa - Navaluenga","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"San Juan De La Nava - Navaluenga","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Navalacruz - Navaluenga","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Villanueva Del Campillo - Piedrahita","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Mercadillo - Piedrahita","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Puente Congosto - Piedrahita","VACL-073","Viamar Autocares, S.L.U.","Prestación Conjunta",NA
"La Lastra - Piedrahita","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Cabezas De Bonilla - Piedrahita","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Narros De Saldueña - San Pedro Del Arroyo","VACL-066","Navatour, S.L.","Prestación Conjunta",NA
"Sigeres - San Pedro Del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"Villatoro - Muñana","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Navadijos - Muñana","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Hoyo De Pinares - Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Coto De Puente Viejo - Sanchidrian","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"El Barraco - Ávila","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Navalacruz - Burgohondo","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"El Herradón - San Bartolomé De Pinares","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Ávila - La Colilla","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"El Convento De Duruelo - Blascomillán","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"Pedro Bernardo - Arenas De San Pedro","VAC-224","La Veloz, S.A.","Prestación Conjunta",NA
"Lanzahita - Arenas De San Pedro","VAC-224","La Veloz SA","Prestación Conjunta",NA
"Herreros De Suso - Fontíveros","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Prestación Conjunta",NA
"El Arenal - Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Prestación Conjunta",NA
"Hernansancho - Las Berlanas","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Prestación Conjunta",NA
"Quemada - Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Granja ""La Ventosilla"" - Aranda De Duero","Vacl-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Rublacedo De Arriba - Briviesca","VACL-015","Automóviles Soto y Alonso, S.L.","Prestación Conjunta",NA
"Fresno De Rodilla - Burgos","Vacl-015","Automóviles Soto y Alonso, S.L.","Prestación Conjunta",NA
"Cardeñadijo - Burgos","VACL-010","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Modubar De La Emparedada - Burgos","VACL-010","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Cubillo Del Campo - Burgos","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Valdorros - Burgos","VACL-010","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Albillos - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Villanueva Matamala - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Villalval - Burgos","VACL-015","Automóviles Soto y Alonso, S.L.","Prestación Conjunta",NA
"Villasilos - Castrojeriz","VACL-079","Autobuses Amaya, S.L.","Prestación Conjunta",NA
"Mercerreyes - Covarrubias","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Retuerta - Covarrubias","AECL-024","Arlanza Bus, S.L.","Prestación Conjunta",NA
"Villasante - Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Quintanilla Sotoscueva - Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Quintanilla Del Agua - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Zael - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Moneo - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Prestación Conjunta",NA
"Cebrecos - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Medina De Pomar - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Prestación Conjunta",NA
"Vallegera - Pampliega","VACL-116","Moreno Vicente y Cía, S.L.","Prestación Conjunta",NA
"Crucero - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Coruña Del Conde - Peñaranda De Duero","Vacl-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Villanueva - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Villanueva - Soportilla","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Soportilla - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Bardauri - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Ayuelas - Miranda De Duero","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Ameyugo - Miranda De Duero","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"La Cueva De Roa - Roa","Vacl-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Celada Del Camino - Pampliega","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Los Balbases - Pampliega","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Hontoria Devaldearados - Peñaranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Brazacorta - Peñaranda De Duero","AECL-019","Autocares Patri, S.A.","Prestación Conjunta",NA
"Miranda De Ebro - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Boada De Roa - Roa","VACL-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Moraza - Treviño","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Fuentelisendo - Roa","VACL-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"La Piedra - Villadiego","VACL-019","Autobuses del Pisuerga, S.L.","Prestación Conjunta",NA
"Rabanera Del Pinar - Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Prestación Conjunta",NA
"Huerta De Abajo - Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Prestación Conjunta",NA
"Peral De Arlanza - Santa María Del Campo","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Villaverde Del Monte - Santa María Del Campo","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Yudego - Sasamon","VACL-079","Autobuses Amaya, S.L.","Prestación Conjunta",NA
"Cañizar De Argaño - Tardajos","VACL-079","Autobuses Amaya, S.L.","Prestación Conjunta",NA
"Sotovellanos - Villadiego","VACL-079","Autobuses Amaya, S.L.","Prestación Conjunta",NA
"Lezana De Mena - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Bortedo - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Entrambasaguas - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Viergol - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Burceña - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Huermeces - Burgos","VACL-019","Autobuses del Pisuerga, S.L.","Prestación Conjunta",NA
"Peñaranda De Duero - Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Fuentenebro - Aranda De Duero","AECL-009","Autocares Víctor Bayo, S.L.","Prestación Conjunta",NA
"Briongos De Cervera - Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Doña Santos - Aranda De Duero","VACL-034","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Bahabón De Esgueva - Aranda De Duero","VACL-027","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Cantabrana - Briviesca","VACL-015","Automóviles Soto y Alonso, S.L.","Prestación Conjunta",NA
"Cubillo Del Cesar - Burgos","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Modubar De La Emparedada - Burgos","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Castrillo Del Val - Burgos","VACL-010","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Valdorros - Burgos","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Mecerreyes - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Tamarón - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Arenillas De Muño - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Mijaralengua - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Prestación Conjunta",NA
"Angulo - Villasana De Mena","VACL-001","Autocares Castilla y León, S.A.U.","Prestación Conjunta",NA
"Villagonzalo Pedernales - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Ciadoncha - Lerma","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Montuenga - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Tejada - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Guzman - Roa","Vacl-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Fuentecén - Roa","Vacl-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Cobos De Cerrato - Lerma","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Garoña - Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Prestación Conjunta",NA
"Villaquirán De Los Infantes - Burgos","VACL-004","Autobuses de Castilla, S.L.","Prestación Conjunta",NA
"Bugedo - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Santa Gadea Del Cid - Miranda Del Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Ircio - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"El Lago - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Aguillo - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Bozoo - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Ayuelas - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Zaballa - Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Prestación Conjunta",NA
"Regumiel De La Sierra - Quintanar De La Sierra","VACL-045","Automóviles La Serrana, S.L.","Prestación Conjunta",NA
"Cabañes De Esgueva - Roa","VACL-139","Autocares de las Heras, S.L.","Prestación Conjunta",NA
"Madrigal Del Monte - Lerma","VACL-007","Autocares Arceredillo, S.L.","Prestación Conjunta",NA
"Pinilla De Los Barruecos - Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Prestación Conjunta",NA
"Huerta Del Rey - Salas De Los Infantes","AECL-020","Antonio Crespo Cabrito, S.L.","Prestación Conjunta",NA
